gene1,gene2,weight,zscore,pvalue,qvalue,lfdr,prob
ABBFA_000319,ABBFA_000647,0.1724247169154661,0.1724247169154661,0.0,0.0,0.0,1.0
ABBFA_000320,ABBFA_000321,0.17575908994696893,0.17575908994696893,0.0,0.0,0.0,1.0
ABBFA_000320,ABBFA_000322,0.13254923550418762,0.13254923550418762,0.0,0.0,0.0,1.0
ABBFA_000320,ABBFA_000323,0.1719662127741813,0.1719662127741813,0.0,0.0,0.0,1.0
ABBFA_000320,ABBFA_000649,0.22877080168783342,0.22877080168783342,0.0,0.0,0.0,1.0
ABBFA_000320,ABBFA_000651,0.11849388892242042,0.11849388892242042,0.0,0.0,4.172947322714e-312,1.0
ABBFA_000321,ABBFA_000322,0.22408973325620163,0.22408973325620163,0.0,0.0,0.0,1.0
ABBFA_000321,ABBFA_000323,0.10760201627893591,0.10760201627893591,0.0,0.0,5.095749734252436e-258,1.0
ABBFA_000321,ABBFA_000647,0.10009427617369389,0.10009427617369389,0.0,0.0,9.977482048163164e-224,1.0
ABBFA_000321,ABBFA_000650,0.12512736285500312,0.12512736285500312,0.0,0.0,0.0,1.0
ABBFA_000322,ABBFA_000323,0.14147334775905668,0.14147334775905668,0.0,0.0,0.0,1.0
